department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,age_min,age_max,trophy
Goats,Breeding,Pygmys,,c377,377,,c382,"Junior Does, 6/1 to under 6 months",,goats3,4,,,
Goats,Breeding,Pygmys,,c378,378,,c382,"Junior Does, 6 to under 9 months",,goats3,5,,,
Goats,Breeding,Pygmys,,c379,379,,c382,"Junior Does, 9 to under 12 months",,goats3,6,,,
Goats,Breeding,Pygmys,,c380,380,,c382,"Junior Does, 12 to under 18 months",,goats3,7,,,
Goats,Breeding,Pygmys,,c381,381,,c382,"Does, under 2 not having kidded or entered in other classes",,goats3,8,,,
Goats,Breeding,Pygmys,,c382,,TRUE,c391,Junior Champion Pygmy,,goats3,9,,,
Goats,Breeding,Pygmys,,c384,384,,c389,"Does, under 2 (having kidded)",,goats3,10,,,
Goats,Breeding,Pygmys,,c385,385,,c389,"Does, 2 years and under 3 years",,goats3,11,,,
Goats,Breeding,Pygmys,,c386,386,,c389,"Does, 3 years and under 4 years",,goats3,12,,,
Goats,Breeding,Pygmys,,c387,387,,c389,"Does, 4 years and under 5 years",,goats3,13,,,
Goats,Breeding,Pygmys,,c388,388,,c389,"Does, 5 years nad over",,goats3,14,,,
Goats,Breeding,Pygmys,,c389,,TRUE,c391,Senior Champion Pygmy,,goats3,15,,,
Goats,Breeding,Pygmys,,c391,,TRUE,,Grand Champion Pygmy,,goats3,16,,,
Goats,Breeding,Pygmys,,c393,393,,,Dam and Daughter,both must be owned by exhibitor or family,goats3,17,,,
Goats,Breeding,Pygmys,,c394,394,,,Best Herd,Three goats owned by one exhibitor or family.,goats3,18,,,
Goats,Breeding,Pygmys,,c395,395,,c400,"Pygmy Wethers, 6/1 to under 6 months",,goats3,19,,,
Goats,Breeding,Pygmys,,c396,396,,c400,"Pygmy Wethers, 6 to under 12 months",,goats3,20,,,
Goats,Breeding,Pygmys,,c397,397,,c400,"Pygmy Wethers, 12 to under 24 months",,goats3,21,,,
Goats,Breeding,Pygmys,,c398,398,,c400,"Pygmy Wethers, 2 to 4 years",,goats3,22,,,
Goats,Breeding,Pygmys,,c399,399,,c400,"Pygmy Wethers, 5 years and over",,goats3,23,,,
Goats,Breeding,Pygmys,,c400,,TRUE,,Grand Champion Pygmy Wether,,goats3,24,,,
Goats,Breeding,Pet Wethers,,c405,405,,c412,"Pet Wethers, 6/1 to under 6 months",,goats3,25,,,
Goats,Breeding,Pet Wethers,,c406,406,,c412,"Pet Wethers, 6 to under 12 months",,goats3,26,,,
Goats,Breeding,Pet Wethers,,c407,407,,c412,"Pet Wethers, 12 to under 24 months",,goats3,27,,,
Goats,Breeding,Pet Wethers,,c408,408,,c412,"Pet Wethers, 2 years and under 3 years",,goats3,28,,,
Goats,Breeding,Pet Wethers,,c409,409,,c412,"Pet Wethers, 3 years to 4 years",,goats3,29,,,
Goats,Breeding,Pet Wethers,,c410,410,,c412,"Pet Wethers, 4 years to 5 years",,goats3,30,,,
Goats,Breeding,Pet Wethers,,c411,411,,c412,"Pet Wethers, 5 years and over",,goats3,31,,,
Goats,Breeding,Pet Wethers,,c412,,TRUE,,Grand Champion Pet Wether,,goats3,32,,,
